ID	DepMap
EFO27	ACH-000936
PF382	ACH-000937
SUPT11	ACH-000122
SKUT1	ACH-000939
AN3CA	ACH-000940
HEC1B	ACH-000941
P12ICHIKAWA	ACH-000372
RKO	ACH-000943
NAMALWA	ACH-000944
NCIH650	ACH-000945
HEC265	ACH-000946
OVK18	ACH-000947
2313287	ACH-000948
TGBC11TKB	ACH-000949
LOVO	ACH-000950
NCIH2342	ACH-000951
MDAPCA2B	ACH-000952
SUPT1	ACH-000953
HEC1A	ACH-000954
SNU407	ACH-000955
22RV1	ACH-000956
LS180	ACH-000957
SW48	ACH-000958
SNUC4	ACH-000959
SUPB15	ACH-000059
ISHIKAWAHERAKLIO02ER	ACH-000961
OC314	ACH-000962
CCK81	ACH-000963
PEER	ACH-000519
RL952	ACH-000965
IGROV1	ACH-000966
SNUC2A	ACH-000967
COLO792	ACH-000968
KM12	ACH-000969
SNUC5	ACH-000970
HCT116	ACH-000971
HEC151	ACH-000972
639V	ACH-000973
SNGM	ACH-000974
HCC2450	ACH-000975
HUCCT1	ACH-000976
LNCAPCLONEFGC	ACH-000977
EN	ACH-000978
DU145	ACH-000979
NCIH1155	ACH-000980
MOLT3	ACH-000964
GP2D	ACH-000982
KCL22	ACH-000983
HEC6	ACH-000984
LS411N	ACH-000985
HT115	ACH-000986
MEWO	ACH-000987
MFE319	ACH-000988
SNU175	ACH-000989
HEC108	ACH-000990
SNU81	ACH-000991
BICR18	ACH-000992
JHUEM7	ACH-000993
HEC59	ACH-000994
ALLSIL	ACH-000105
HEC251	ACH-000996
HCT15	ACH-000997
CW2	ACH-000998
SNU1040	ACH-000999
1321N1	ACH-001000
143B	ACH-001001
451LU	ACH-001002
ACCS	ACH-001011
AZ521	ACH-001015
BECKER	ACH-001016
BGC823	ACH-001017
BJHTERT	ACH-001018
BT16	ACH-001020
C3A	ACH-001021
EW8	ACH-000499
CGTHW1	ACH-001023
CHL1	ACH-001024
CHLA06ATRT	ACH-001028
EWS502	ACH-000279
CHLA266	ACH-001031
MHHES1	ACH-000391
RDES	ACH-000041
CMK115	ACH-001036
CMK86	ACH-001037
SKES1	ACH-000087
COLO205	ACH-001039
COLO699	ACH-001041
COLO704	ACH-001042
COLO775	ACH-001043
COLO818	ACH-001044
CORL51	ACH-001047
COV504	ACH-001048
CPCN	ACH-001049
CW9019	ACH-001050
D384	ACH-001052
D425	ACH-001053
D458	ACH-001054
D556	ACH-001055
DERL2	ACH-001057
DL	ACH-001059
DL40	ACH-001060
DLD1	ACH-001061
DOV13	ACH-001063
EB2	ACH-001064
HCC1500	ACH-000349
F5	ACH-001067
FEPD	ACH-001068
GLC82	ACH-001071
